P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
W-LUM-46-032,Dohali,Gulmi,Western,0.0,0.004,0.6351197263397947,0.333,0.47434119278779474,0.01434426229508197,0.014530000000000001,Lowest
W-LUM-50-055,Niglihawa,Kapilbastu,Western,0.001,0.012,0.6465222348916762,0.664,0.710124826629681,0.045081967213114756,0.04593,Low
M-RAP-56-040,TulsipurN. P.,Dang,Mid-Western,0.0,0.053000000000000005,0.483466362599772,0.562,0.5395284327323161,0.03278688524590164,0.032990000000000005,Low
C-NAR-33-048,Kabahigoth,Bara,Central,0.008,0.007000000000000001,0.42873432155074115,0.7200000000000001,0.6158113730929264,0.06762295081967214,0.06676,Medium-Low
F-SET-67-017,Kailashmandau,Bajura,Far-Western,0.0,0.010000000000000002,0.7879133409350056,0.8800000000000001,0.9459084604715672,0.0,0.0,Lowest
F-SET-71-028,Nigali,Kailali,Far-Western,0.0,0.006,0.3694412770809578,0.397,0.35644937586685166,0.0,0.0,Lowest
E-SAG-16-006,Ayodhyanagar,Siraha,Eastern,0.003,0.005000000000000001,0.21550741163055875,0.797,0.5409153952843272,0.04098360655737705,0.041330000000000006,Low
M-BHE-60-020,Jambukandh,Dailekh,Mid-Western,0.0,0.007000000000000001,0.7457240592930445,0.759,0.8363384188626907,0.0,0.0,Lowest
W-GAN-37-039,Maling,Lamjung,Western,0.005000000000000001,0.001,0.5484606613454961,0.32000000000000006,0.41192787794729535,0.02868852459016394,0.028380000000000002,Low
C-JAN-19-030,Farahadawa,Sarlahi,Central,0.032,0.006,0.346636259977195,0.835,0.6463245492371705,0.10245901639344263,0.1034,Medium-Low
C-BAG-24-061,NagreGagarche,Kavrepalanchok,Central,0.10500000000000001,0.002,0.6031927023945267,0.331,0.4521497919556171,0.10040983606557377,0.10059000000000001,Medium-Low
C-NAR-32-007,Bairiya,Rautahat,Central,0.008,0.005000000000000001,0.3660205245153934,0.9140000000000001,0.7128987517337031,0.06147540983606557,0.06132,Medium-Low
F-MAH-72-014,RaikawarBichawa,Kanchanpur,Far-Western,0.0,0.017,0.4891676168757127,0.30800000000000005,0.3675450762829403,0.0,0.0,Lowest
C-JAN-19-073,Netraganj,Sarlahi,Central,0.057999999999999996,0.010000000000000002,0.346636259977195,0.835,0.6463245492371705,0.14959016393442623,0.14879,Medium-High
C-JAN-22-008,Bocha,Dolakha,Central,0.06899999999999999,0.003,0.7251995438996579,0.5860000000000001,0.7045769764216366,0.10450819672131148,0.10464000000000001,Medium-Low
E-SAG-16-053,Kachanari,Siraha,Eastern,0.004,0.007000000000000001,0.21550741163055875,0.797,0.5409153952843272,0.05122950819672131,0.05041,Low
C-BAG-29-011,Langtang,Rasuwa,Central,0.045000000000000005,0.0,0.4891676168757127,0.786,0.6990291262135923,0.04713114754098361,0.04787,Low
W-GAN-37-032,Ilampokhari,Lamjung,Western,0.08600000000000001,0.003,0.5484606613454961,0.32000000000000006,0.41192787794729535,0.09836065573770492,0.09758,Medium-Low
F-SET-70-015,Gadasera,Doti,Far-Western,0.0,0.003,0.8665906499429874,0.8260000000000001,0.9570041608876559,0.0,0.0,Lowest
C-JAN-17-001,Andupatti,Dhanusa,Central,0.011000000000000001,0.004,0.41163055872291904,0.77,0.6407766990291262,0.05942622950819672,0.059980000000000006,Medium-Low
